date,orders,units,planned_workers,actual_workers,absences,labor_hours,units_per_labor_hour,backlog_units,overtime_hours,on_time_ship_pct,error_rate_pct,promo_flag,day_of_week
2026-01-01,31880,43995,70,63,5,569.8,61.5,9973,12.4,94.4,1.0,0,Thursday
2026-01-02,42206,59518,95,86,6,791.1,62.5,19527,25.5,91.81,0.95,1,Friday
2026-01-03,36183,47314,76,75,3,726.5,62.5,21617,27.5,92.79,0.94,0,Saturday
2026-01-04,30575,41865,67,60,5,567.6,57.5,30448,38.8,88.67,1.19,0,Sunday
2026-01-05,42708,56773,91,84,5,804.6,63.9,35881,45.2,86.93,0.95,0,Monday
2026-01-06,36086,45789,73,71,3,711.6,57.4,41331,49.6,86.0,1.26,0,Tuesday
2026-01-07,40104,55482,89,84,4,823.2,60.2,46619,56.9,86.0,1.37,0,Wednesday
2026-01-08,40502,52078,83,79,4,767.8,59.7,53087,65.6,86.0,1.32,0,Thursday
2026-01-09,40336,51728,83,82,4,791.8,63.8,54252,67.3,86.0,1.14,0,Friday
2026-01-10,31833,39479,63,57,4,523.4,59.4,63282,78.7,86.0,1.35,0,Saturday
2026-01-11,33357,43126,69,65,5,627.4,62.0,67214,82.3,86.0,1.46,0,Sunday
2026-01-12,45158,65395,105,98,5,895.9,61.8,77394,98.4,86.0,1.71,0,Monday
2026-01-13,36887,46802,75,76,2,685.4,63.7,80448,98.8,86.0,1.74,0,Tuesday
2026-01-14,46780,72654,117,111,7,1016.1,52.0,100354,124.5,86.0,1.84,0,Wednesday
2026-01-15,44297,59028,95,90,4,802.2,59.0,112056,142.2,86.0,2.2,0,Thursday
2026-01-16,44326,55087,88,85,3,870.8,57.6,117446,145.7,86.0,2.19,1,Friday
2026-01-17,38011,48183,77,72,5,653.1,55.6,129380,163.6,86.0,2.2,0,Saturday
2026-01-18,42274,56543,91,84,4,830.5,62.8,134533,168.4,86.0,2.13,0,Sunday
2026-01-19,52218,68177,109,103,5,938.6,57.2,149304,186.2,86.0,2.2,0,Monday
2026-01-20,46429,61622,99,94,6,825.5,60.8,160314,198.9,86.0,2.2,0,Tuesday
2026-01-21,38355,50722,81,81,3,797.9,63.3,161227,201.3,86.0,2.2,0,Wednesday
2026-01-22,42958,52977,85,80,4,766.4,71.6,160289,199.3,86.0,2.2,0,Thursday
2026-01-23,43436,61525,99,94,3,822.4,60.3,171681,214.0,86.0,2.2,0,Friday
2026-01-24,34616,51589,83,84,1,765.8,68.7,172103,213.7,86.0,2.2,0,Saturday
2026-01-25,36052,46881,75,71,5,665.2,60.4,178096,222.3,86.0,2.2,0,Sunday
2026-01-26,48890,68495,110,102,6,981.6,61.2,186496,232.3,86.0,2.2,0,Monday
